NHx-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	13.35	10.93	9.35	8.6	10.99	8.88	10.29	9.17	2.84	0.41
	-7.4	-11.62	-15.43	-17.47	-20.22	-18.93	-21.08	-19.07	-23.68	-20.91
	199.49	482.61	161.3	414.78	223.21	167.41	677.57	1030.64	894.77	10.46
	4.15	1.81	2.36	4.74	9.26	12.17	6.6	1.13	19.76	312.06
	208.76	246.49	660.01	299.45	212.4	48.64	58.67	5.94	1.35	1.74
	-0.33	-0.09	5.98	7.25	9.19	7.53	14.91	23.97	25.23	26.25
	34.58	35.8	78.21	31	31.82	1.87	-12.39	-8.9	-4.13	-1.85
	0.83	10.3	9.53	10.93	12.16	27.81	15.88	9.08	13.3	4.57
	-0.81	-0.26	-6.47	-9.58	-13.09	-13.11	-16.46	-15.79	-16.14	-13.63
	-16.93	-0.94	335.1	103.6	132.42	119.59	231.12	235.54	515.44	1085.15
	1002.15	415.15	9.54	-0.58	-1.07	1.11	4.37	8.98	6.41	2.29
	61.81	361.84	259.03	267.25	602.16	781.46	174.7	22.96	11.6	8.35
	8.81	6.32	9.06	7.84	13.49	12.58	23.6	29.64	85.63	637.52
	1458.23	710.42	377.68	373.79	20.53	-1.59	132.92	71	15.44	4.75
	12.48	0.91	5.33	14.69	-1.26	6.77	4.86	14.11	-2.97	-5.05
	-1.61	-8.16	-8.97	-4.8	-8.72	-9.57	-8.15	-9.57	-11.09	-8.93
	-11.24	-7.68	-0.86	10.36	704.2	30.01	6.26	11.93	81.04	154.38
	250.66	1240.73	1004.59	203.78	-1.82	5.07	-0.8	-4.13	0.01	4.8
	12.58	17.98	106.48	486.56	395.52	496.46	611.32	901.18	254.71	21.96
	15.47	21.74	21.56	20.73	22.68	19.19	18.31	23.99	27.78	63.67
	227.38	851.43	224.77	211.22	710.48	34.31	17.68	31.84	34.93	48.32
	2.06	10.01	15.41	9.38	15.24	11.84	-1.84	-0.05	-2.66	0.28
	-6.46	-9.07	-8.14	-8.97	-9.36	-8.34	-8.32	-8.19	-9.58	-6.92
	-7.46	-5.68	-6.98	-9.16	-4.42	14.38	1258.4	99.53	18.86	-15.21
	108.14	391.29	984.55	297.4	18.63	34.05	29.73	28.23	26.64	18.74
	30.3	31.69	49.4	55.8	187.35	275.7	187.37	378.46	1300.07	1298.54
	855.73	64.52	28.24	41.61	55.46	47.29	42.68	41.61	30.24	30.56
	25.25	76.46	579.07	115	741.72	197.05	349.08	56.65	32.21	25.76
	10.31	17.69	3.75	1.01	2.65	0.01	19.58	8.53	15.64	7.64
	4.31	16.15	3.81	5.27	7.6	3.97	6.9	8.92	-0.09	4.27
	10.47	4.12	2.79	14.24	12.02	18.5	42.15	65.42	472.8	1674.46
	550.26	81.56	343.7	53.55	206.99	56.43	54.28	72.53	95.61	94.33
	93.75	88.04	143.75	103.82	83.18	291.86	537.74	325.25	284.37	296.7
	1121.23	1237.06	963	597.58	75.85	71.83	99.89	85.97	92.49	104.19
	84.39	49.76	40.4	336.54	956.31	83.79	430.03	63.96	43.93	69.09
	24.45	10.34	6.35	2.52	22.25	8.14	7.57	5.8	26.85	13.68
	30.19	16.73	13.68	32.69	25.81	27.2	36.44	29.35	36.98	47.06
	37.69	37.08	49.49	32.05	34.07	45.28	40.89	48.26	60.3	160.79
	298.1	2481.07	1527.91	511.96	204.68	42.39	44.5	60.84	73.66	78.36
	94.13	95.92	91.88	222.22	598.61	831.92	870.76	2286.27	1388.6	553.33
	412.66	442.9	885.6	1226.14	1626.19	921.12	191.28	168.98	210.93	232.84
	171.39	430.14	913.04	168.48	100.83	195.69	734.58	158.75	94.25	119.02
	185.67	655.4	38.62	21.78	22.5	14.34	28.07	28.92	12.59	27.52
	31.11	24.93	19.01	13.13	15.62	19.66	22.11	19.69	21.42	19
	24.21	35.15	41.22	40.39	52.42	57.41	50.58	50.31	38.86	48.09
	75.69	740.65	149.08	1068.13	812.07	773.8	96.99	37.28	35.39	45.97
	51.87	61.6	57.89	58.08	68.56	589.56	467.95	695.51	844.25	1474.07
	1691.4	640.48	535.89	819.6	856.94	1769.53	1475.98	585.09	197.77	123.13
	183.91	221.84	179.9	2891.29	1597.89	201.07	126.18	123.46	257.13	1252.37
	166.18	68.92	423.31	370.97	40.41	26.71	21.33	15.7	13.22	24.01
	5.22	18.47	10.19	21.59	5.94	1.41	6.22	3.4	4.19	5.62
	8.22	6.96	11.2	14.31	20.89	31.23	35.14	45.63	41.67	62.81
	88.26	346.81	1626.22	625.49	73.32	35.52	14.52	29.12	57.33	24.27
	20.31	28.58	36.05	40.46	40.25	30.07	147.94	757.57	469.06	559.44
	617.72	578.14	634.76	375.86	567.02	663.61	735.75	966.86	508.94	303.28
	43.22	83.32	128.07	151.07	301.9	3924.77	1468.07	243.14	212	168.56
	1366.34	1142.87	384.32	84.31	601.34	112.33	31.58	28.95	19.8	18.99
	14.24	10.38	6.73	12.96	10.48	11	2.37	-1.97	0.14	0.04
	-1.83	7.74	-5.03	-7.58	-6.84	-2.5	7.54	15.91	21.07	28.16
	39.62	580.43	1807.47	813.8	309.18	48.67	168.64	467.62	716.87	98.99
	41.36	31.92	31.44	32.18	28.18	27.81	23.87	15.24	29.08	332.04
	87.34	98.81	190.5	85.59	17.46	43.52	123.5	67.84	274.99	437.97
	137.41	101.53	16.35	40.4	47.73	88.39	669.34	4121.23	3875.18	638.25
	354.98	1626.67	1609.2	1159.36	350.49	128.33	502.91	50.21	46.78	36.62
	31.88	19.88	19.51	15.84	10.64	12.63	10.95	5.97	6.09	5.11
	1.54	5.22	0.07	4.59	-0.16	0.58	3.92	8.46	14.64	18.19
	18.74	30.47	113.31	1195.91	1890.02	66.69	389.23	387.56	1167.37	330.56
	88.54	29.11	34.2	30.53	33.97	30.21	22.49	21.29	20.66	15.84
	9.34	-0.39	-0.08	6.78	61.16	107.97	13.56	7.36	-1.84	12.28
	270.81	69.61	378.26	83.75	57.66	16.12	31.16	148.91	2329.97	4289.56
	4545.73	5719.14	3833.87	1379.65	1115.44	1998.53	3030.66	888.1	128.32	79.47
	68.61	47.92	37.89	27.73	28.54	30.96	22.72	21.32	16.32	7.75
	25.5	22.98	20.34	21.61	22.85	19.38	19.52	21.13	24.24	23.27
	18.52	16.63	16.1	169.86	544.29	1151.64	850.29	82.18	71.1	74.71
	105.87	35.78	41.16	37.04	42.05	38.91	35.4	28.67	19.33	15.57
	18.43	19.66	16.5	14.21	9.28	0.43	1.19	5.84	12.36	8.82
	4.97	21.34	835.75	65.44	117.53	353.72	179.53	89.1	382.89	2193.93
	1810.35	4082.86	6872.34	7120.58	6392.95	957.42	1553.45	2944.17	3559.66	3021.2
	726.99	156.39	82.77	55.07	33.29	31.63	32.82	32.69	27.91	29.65
	29.62	24.22	29.89	25.19	22.64	22.56	31.31	26.11	22.86	25.81
	26.35	23.86	16.6	14.48	23.18	402.83	813.57	843.51	548.35	231.58
	147.8	204.86	110.7	48.66	35.72	38.03	42.4	45.05	35.3	29.09
	21.27	18.63	19.38	19.9	19.25	27.7	224.86	34.14	8.99	1.85
	6.39	21.55	13.56	32.77	1071.28	97.06	27.75	198.17	468.07	560.03
	426.97	1463.03	2092.86	6345.82	5223.11	1213.82	657.17	1064.43	2104.33	5230.42
	4542.69	3987.54	2326.48	296.63	185.33	119.07	85.02	66.92	56.62	59.62
	55.83	41.06	36.91	33.77	50	43.82	36.11	29.18	31.08	33.29
	31.38	26.76	26.55	25.43	18.54	18.7	188.68	229.84	123.28	171.69
	333.14	394.94	410.85	344.5	179.07	93.56	53.25	40.49	32.84	32.48
	26.42	25.88	25.51	23.01	20.59	22.38	21.52	31.19	693.35	671.62
	151.1	82.05	117.88	62.7	190.71	280.54	516.15	745.13	160.94	1279.54
	742.82	201.78	418.81	307.45	2031.67	2944.21	233.47	157.85	104.97	377.04
	2338.83	2603.61	3948.27	5645.09	4419.43	454.52	523.92	318.31	224.95	191.04
	144.58	104.15	94.14	81.97	67.22	54.92	78.65	70.91	57.44	52.43
	49.53	48.39	42.87	41.25	36.84	30.69	23.56	108.08	291.65	33.39
	44.11	162.22	601.31	594.41	642.82	461.94	385.07	131.74	115.14	92.47
	66.29	46.69	36.21	30.08	23.3	20.37	25.61	28.32	30.41	37.27
	167.85	514.61	576.82	483.18	504.24	185.35	153.98	430.1	1425.78	1114.28
	1319.87	1018.93	893.71	231.89	198.76	238.1	1024.43	597.89	155.77	93.06
	91.71	157.85	858.88	1901.4	3042.62	5822.94	2040.83	1536.87	411.74	461.27
	475.99	304.59	204.42	174.03	135.8	113.61	96.81	85.01	93	76.04
	65.89	70.27	66.13	59.57	55.86	49.34	46.77	40.3	40.25	152.8
	82.64	73.19	92.37	271.87	661.19	989.92	1010.19	900.91	671.99	691.29
	121.31	107.05	105	83.74	61.48	55.4	40.97	31.96	28.39	28.78
	28.33	39.77	343.09	766.62	360.38	103.15	286.95	458.46	453.22	1123.06
	1626.34	822.9	848.76	754.95	143.44	28.45	69.62	226.76	283.65	372.28
	264.97	233.42	222.74	436.14	201.12	731.62	1641.55	4212.31	2893.46	1774.89
	325.54	179.88	322.81	186.63	202	180.43	143.68	125.74	113.68	101.26
	73.59	54.88	51.37	48.61	54.89	54.08	50.26	45.03	40.66	39.63
	38.88	119.56	107.48	110.25	64.95	144.47	534.12	1393.05	1183.05	528.01
	729.93	1003.23	183.77	123.81	76.08	52.98	45.23	57.06	50.2	42.88
	32.03	27.65	36.16	39.63	116.61	271.93	717.4	647.69	923.05	540.49
	871.42	1150.89	225.19	289.52	624.28	446.28	60.53	22.92	82.61	67.24
	102.38	143.05	548.78	920.34	494.2	183.28	145.93	143.7	286.05	1319.49
