N-deposition	mg N/m2/year		im = 72		jm = 48		year1860			
	26.37	22.9	5.39	5.36	6.91	8.93	21.26	26.05	20.62	16.51
	22.19	18.18	14.44	17	21.06	20.99	14.48	11.91	8.81	4.67
	3.22	1.68	0.69	1.11	0.83	-0.68	-3.07	3.13	19.32	43.89
	58.68	124.56	110.95	74.27	27.82	15.11	16.71	13.33	10.65	8.89
	9.81	7.93	1.71	-3.47	3.39	123.59	166.07	130.12	79.4	41.9
	27.04	48.11	21.49	25.3	15.18	13.76	13.07	13.41	13.95	12.56
	12.94	13.45	13.82	11.07	11.18	27.79	31.62	41.85	50.37	34.06
	52.11	16.67	23.21	4.67	4.02	16.78	15.82	18	32.72	31.46
	22.7	23.03	24.77	28.02	22.15	24.73	26.78	25.48	12.27	10.77
	4.41	0.91	-3.19	-5.26	-5.68	-5.3	-5.82	-9.1	-11.2	12.19
	91.78	98.99	90.79	136.55	129.11	70.42	23.67	22.97	15.56	12.07
	8.01	6.86	11.48	12.58	8.84	4.08	19.08	152.06	114.82	63.03
	53.25	31.89	42.88	63.41	24.73	22.77	13.9	13.49	11.29	12.62
	19.27	14.94	15.24	17.31	12.99	12.85	12.96	22.24	32.11	66.23
	39.05	34.62	65.65	-1.19	34.88	21.12	17.62	20.42	19.65	30.64
	40.92	36.38	35	33.99	32.6	27.81	29.44	25.45	13.94	11.45
	0.22	-4.16	-8.94	-11.84	-14.92	-13.13	-14.85	-13.55	-14.77	-16.9
	7.58	117.37	103.64	98.72	146.57	92.06	101.26	44.16	3.78	23.08
	14.2	10.52	10.07	11.98	17.24	21.29	18.32	17.26	31.3	121.19
	105.63	71.95	132.48	13.86	37.76	38.13	13.74	20.74	15.84	15.01
	10.56	12.57	20.49	21.45	23.91	23.24	32.11	42.66	39.52	42.45
	44	49.47	48.51	21.78	37.99	13.41	4.81	8.04	13.22	12.64
	18.37	37.28	31.22	32.65	32.68	55.48	33.57	23.43	30.16	16.74
	8.3	9.28	1.21	-1.33	-4.99	-7.33	-9.1	-8.22	-6.86	-4.49
	-4.89	-1.28	79.05	116.41	69.42	116.79	122.42	94.05	144.84	73.99
	-28.46	1.95	23.07	12.98	10.76	11.77	15.72	21.37	22.78	22.3
	54.65	145.36	135.61	105.53	33.34	53.09	40.44	26.88	19.75	19.98
	21.98	17.58	19.65	20.68	29.05	30.02	40.99	48.62	68.09	70.95
	63.61	68.96	38.61	38.24	34.85	13.75	40.48	36.53	39.78	25.5
	34.34	21.23	28.34	43.11	10.89	23.51	18.56	32.5	5.42	5.34
	10.57	-1.65	-0.5	6.82	-1.47	-1.13	3.03	-3.61	-0.91	3.58
	2.64	7.36	13.14	4.21	115.7	56.7	56.61	55.44	83.37	95.67
	146.26	147.08	-11.37	4.38	20.29	30.36	21.51	15.59	20.55	24.22
	35.89	44.34	98.4	151.89	210.36	273.69	53.31	31.76	31.69	23.11
	19.36	19.86	25.46	25.83	27.61	26.27	28.18	35.99	41.12	67.56
	106.2	62.51	31.89	60.2	76.59	43.99	37.36	55.93	45.47	18.4
	27.88	36.07	42.71	34.99	43.75	35.38	7.44	9.76	5.19	9.88
	-1.73	-2.48	-0.44	-4.7	-2.99	-0.95	-2.36	-1.4	-0.27	-1.44
	1.39	4.27	4.59	3.44	10.16	17.49	151.58	137.78	57.38	21.67
	93.6	59.52	86.22	63.87	26.29	55.57	54.37	49.19	44.76	35.46
	44.98	42.72	57.14	64.29	129.66	172.49	187.83	265.16	103.41	69.4
	7.61	15.78	15.57	22.94	30.89	28.98	30.38	34.45	30.81	33.31
	31.64	68.87	113.62	15.54	34.35	15.2	59.4	53.18	62.35	58.83
	24.47	36.84	23.21	18.66	18.56	12.09	43.71	23.92	27.93	15.78
	12.86	27.8	10.19	13.21	17.93	10.88	16.74	19.94	8.75	17.76
	29.09	16.62	18.27	33.82	32.12	39.76	65.42	69.34	160.15	238.76
	145	46.82	102.01	65.58	58.63	71.04	74.16	89.52	109.51	104.04
	95.5	84.05	116.52	88.68	61.24	120.93	141.8	115.92	132.94	126.44
	130.3	43.19	11.54	11.98	34.77	32.41	43.93	37.35	39.25	46.2
	45.92	37.81	36.28	63.81	75.08	49.51	59.04	8.11	47.24	58.93
	49.04	28.43	21.81	17.71	49.66	24.05	22.75	19.18	48.32	25.51
	39.94	23.88	20	42.76	33.94	34.86	46.51	37.46	43.92	56.95
	43.45	41.97	61.92	43.43	44.11	59	52.42	64.07	75.97	82.54
	151.89	206.18	133.38	35.14	67.81	25.27	53	67.17	76.32	78.78
	95.05	93.05	82.12	140.28	184.5	120.78	78.49	132.09	122.72	77.78
	82.12	57.74	93.34	151.81	55.75	-4.78	40.73	55.58	68.1	78.28
	65.72	96.31	164.43	81.23	55	46.29	67.36	75.53	59.24	35.35
	66.47	87.68	52.48	41.36	40.39	29.7	50.88	50.05	24.99	42.51
	46.09	34.28	24.63	17.46	19.28	24.4	26.37	23.73	25.54	23.48
	26.22	37.68	41.46	39.96	50.13	55.56	45.66	46.13	38.76	39.69
	32.74	73.98	60.37	48	28.36	28.44	27.98	42.7	37.76	45.39
	48.95	55.08	51.21	48.25	49.02	136.89	97.76	66.08	66.54	80.2
	51.94	34.89	95.63	61.06	77.2	203.89	36.12	13.1	45.26	30.33
	54.11	70.94	73.42	420.83	219.65	77.87	57.04	55.99	53.87	140.89
	49.18	46.17	50.56	46.9	45.76	39.67	35.39	28.83	25.59	38.85
	13.79	29.38	18.28	29.21	9.39	3.82	7.78	6.55	6.7	7.3
	9.82	9.51	12.6	14.16	16.4	19.2	18.3	21.64	18.57	27.65
	38.41	67.1	86.93	86.16	60.24	27.35	15.83	25.92	33.3	27.76
	21.84	26.97	32.25	34.75	32.22	21.46	28.92	60.18	44.01	22.74
	7.07	-1.86	-6.52	6	96.3	50.98	2.06	53.83	10.87	34.42
	3.62	15.33	33.19	45.06	107.48	540.54	188.4	92.44	85.73	80.22
	81.52	102.42	41.37	46.27	76.37	31.67	35.05	34.9	30.24	28.3
	22.51	19.54	14.62	20.29	15.34	15.97	4.43	-0.57	0.54	0.32
	-2.82	-0.37	-4.28	-5.57	-7.21	-4.12	0.95	3.5	5.06	8.77
	12.78	28.88	31.24	94	105.76	12.98	37.24	36.85	59.95	31.62
	32.05	34.52	31.92	30.28	25.61	24.87	21.94	14.69	13.83	5.47
	-30.18	-28.09	-45.29	-23.91	-13.47	8.4	16.25	-0.92	-15.32	-21.46
	12.01	-0.72	-7.34	1.43	4.39	17.69	172.3	564.43	491.95	138.33
	127.91	285.44	156.9	117.53	63.75	37.23	68.77	36.96	38.03	34.65
	33.63	24.15	25.4	21.47	16.29	16.69	13	8.51	6.22	3.78
	-0.16	1.08	-6.2	-1.3	-2.91	-1.45	0.31	4.08	7.52	8.78
	9.16	11.2	19.44	18.36	52.06	25.88	56.95	28.57	26.46	14.87
	40.18	30.94	35.84	32.97	34.47	28.81	21.31	19.68	18.71	14.87
	8.78	0.75	3.07	5.67	-4.99	-0.34	-0.47	6.91	-1.17	0.61
	-3.6	3.02	6.72	-5.51	0.92	4	2.21	21.15	334.87	588.25
	605.94	834.32	713.85	293.3	181.92	202.05	148.58	68.98	38.53	36.79
	36.79	33.07	30.49	27.21	27.73	29.39	21.86	20.11	14.67	7.31
	18.57	16.04	14.6	14.82	15.53	11.55	11.73	13.33	14.54	16.21
	14.57	13.85	12.39	13.45	20.24	24.1	37.86	40.99	41.14	34.83
	47.79	29.96	38.84	37.57	42.38	40.48	36.2	29.23	20.65	14.99
	15.95	16.29	13.27	11.09	3.92	3.54	-0.14	2.09	6.32	2.81
	3.85	5.74	20.42	13.88	-0.48	-3.12	13.55	13.35	43.18	193.79
	197.03	513.86	904.47	995.08	971.84	222.12	113.7	179.58	177.55	139.4
	71.14	42.2	31.37	22.74	19.59	17.93	21.99	25.27	22.86	23.32
	22.08	17.44	18.82	15.28	13.9	14.29	19.21	17.01	14.5	16.5
	15.94	15.69	14.21	14.34	19.41	15.4	18.18	31.65	80.97	88.82
	82.8	92.51	68.76	41.97	35.18	36.76	41.08	45.74	37.39	31.2
	22.42	18.51	16.9	15.99	14.34	16.52	14.77	4.5	3.7	1.5
	5.51	5.24	3.35	5.08	12.37	14.94	3.18	9.7	39.53	29.12
	30.69	151.43	191.94	813.63	718.8	194.36	114.67	200.6	119.07	203.54
	184.86	191.95	124.55	57.73	49.19	34.65	29.73	24.06	23.25	27.86
	29.85	23.68	21.06	19.41	20.31	18.16	17.14	15.01	16.62	18.06
	17.01	14.33	15.26	15.84	13.77	16.23	71.55	40.35	35.66	66.47
	116.65	118.8	167.6	164.73	99.29	57.86	37.86	34.78	30.39	31.54
	28.75	26.16	24.54	20.77	17.07	16.81	15.6	18.29	24.43	14.98
