NOy-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	186.13	202.6	270.92	356.81	380.4	313.79	204.81	42.26	28.08	23.65
	19.75	21.38	30.72	38.13	50.55	62.54	68.71	296.97	270.59	216.23
	256.31	166.12	131.61	117.24	60.26	42.65	27.88	26.01	23.14	24.22
	31.39	27.47	27.97	30.32	26.75	28.86	33.11	34.57	39.58	94.59
	105.97	93.01	106.7	74.2	50.27	33.72	32.01	25.35	23.75	34.02
	40.71	36.78	37.6	36.3	32.15	29.18	31.21	27.42	19.3	18.7
	13.15	12.22	10.91	9.18	8.83	9.9	10.24	10.38	12.3	23.93
	131.97	176.35	175.14	204.77	304.57	225.02	283.19	256.4	273.86	50.53
	26.06	23.83	24.43	29.14	41.12	57.31	73.61	65.7	80.97	247.25
	194.7	235.03	444.25	115.49	160.82	74.63	43.5	42.5	33.84	31.62
	26.38	29.42	36.41	38.69	43.54	46.2	57.07	69.94	66.53	62.29
	56.39	74.8	109.55	110.18	67.73	56.23	38.46	33.08	30.1	24.47
	31.52	43.16	29.32	29.77	29.44	41.35	28.1	23.58	28.37	20.74
	15.61	16.12	12.87	13.6	12.91	10.11	11.05	13.18	14.58	18.1
	25.06	50.75	204.51	172.97	176.74	240.9	236.47	216.97	328.43	289.22
	285.37	213.56	35.06	34.3	33.32	38.49	52.19	75.39	76.36	67.84
	118.55	334.95	279.75	300.97	193.97	211.59	122.71	64.61	40.25	33.44
	32.19	27.84	28.94	30.56	38.29	41.87	59.16	82.72	149.2	281.14
	349.63	248.62	144.58	107.86	79.21	76.84	87.19	59.29	45.12	33.22
	36.65	29.64	32.7	38.55	17.83	24.43	20.67	29.31	13.47	16.88
	20.58	11	14.04	19.87	11.9	14.37	17.64	10.94	14.7	22.31
	21.09	29.73	48.89	60.43	241.09	151	150.88	151.44	221.29	208.08
	325.29	485.31	270.15	113.73	53.7	65.81	58.3	54.54	70.79	88.4
	85.27	91.21	188.14	431.62	512.57	605	183.99	140.99	97	60.7
	44.59	40.28	41.1	41.27	43.25	42.34	42.22	51.84	65.18	132.02
	257.81	309.21	158.16	174.79	184.93	89.51	74.03	90.32	89.08	55.02
	44.69	37.91	39.75	36.41	39.71	33.29	15	15.78	13.01	16.82
	9.01	12.25	14.43	8.49	11.96	14.65	10.3	13.35	15.85	11.24
	13.94	19.03	19.95	22.96	43.76	71.35	446.46	233.77	145.75	115.71
	178.96	184.97	271	172.28	105.23	99.06	101.15	87.48	90.26	85.56
	120.45	110.88	125.64	137.02	298.96	436.42	411.45	502.02	347.62	222.15
	120.16	60.96	62.57	59.58	74.88	72.33	70.4	70.81	65.22	68.13
	65.51	148.97	359.6	222.48	162.31	176.09	121.76	83.37	72.61	62.56
	53.62	31.23	28.01	24.17	21.39	17.16	35.5	23.35	26.91	18.26
	18.33	29.88	16.94	22.79	27.74	20.44	27.77	32.43	22.43	35.1
	46.57	35.68	42.23	59.78	59.72	72.24	122.01	152.27	439.53	731.51
	267.14	108.1	183.46	162.38	148.99	133.61	127.56	161.29	209.56	188.37
	191.23	195.86	288.63	213.91	165.94	300.42	405.03	443.4	448.4	435.68
	520.22	205.41	134.99	94.93	122.58	101.22	132.9	133.84	148.24	160.36
	199.4	151.25	114.73	214.7	707.77	343.3	245.06	132.03	92.14	114.22
	57.65	32.71	29.16	25.84	43.05	24.49	24.05	22.61	40.13	25.21
	44.09	29.4	28.42	45.88	38.43	42.44	52.18	45.19	54.23	66.16
	56.81	61.57	84.43	67.24	76.55	102.68	95.42	115.86	151.68	209.48
	486.44	1047.49	501.55	186.62	168.76	133.39	122.69	123.07	149.53	156.71
	200.18	192.3	183.76	348.35	577.17	512.02	405.3	744.93	671.17	500.94
	510.47	464.73	499.12	419.68	242.73	136.29	177.93	213.14	250.49	334.84
	371.23	514.61	416.43	349.06	300.06	318.71	462.97	343.85	224.25	152.41
	158.66	239.24	69.46	50.34	47.62	36.45	48.75	46.47	29.82	44.91
	49.58	40.89	40.49	32.77	35.24	36.31	37.67	35.3	40.03	39.04
	47.98	63.46	71.37	74.43	98.31	117.08	123.35	135.02	104.92	127.95
	155.63	389.84	359.33	665.12	931.27	491.91	173.82	103.74	91.82	104.13
	111.27	122.69	130.15	141.91	128.81	412.3	396.89	440.67	456.75	697.88
	728.42	431.14	497.36	431.2	462.3	612.71	313.77	214.58	166.93	239.38
	311.86	350.73	339.85	759.63	461.82	302.57	242.06	232.72	243.51	298.9
	271.42	164.73	183.1	138.39	77.14	59.77	52.22	45.6	40.08	49.09
	29.12	48.12	38.89	47.18	43.51	38.85	42.37	35.42	33.5	35.68
	38.03	40.92	48.7	58.2	71.96	95.34	111.32	139.45	145.18	199.54
	286.44	302.39	378.45	366.2	217.02	306.14	276.52	118.95	107.79	88.94
